EMPRESA|CODIGOID|PRODUCTO|FECHA_ALTA|VALOR|CUENTA_ACTIVO|CUENTA_PASIVO|ANOS|PORCENTAJE|FECHA_ANTICIPADA|PRIMER_EJERCICIO|ULTIMO_EJERCICIO|AMORTIZA_PRIMERO|AMORTIZA_ANUAL|AMORTIZA_ULTIMO|FLAG_VEHICULO|FLAG_NAVE|FLAG_MAQUINARIA|FLAG_INFORMATICA|FLAG_MOBILIARIO
CHEMIE|45|BMW X3 (9837LXS)|2022-04-29|45204.26|6810000000|2818000024|5.00|20.00|2023-08-10|2022|2023|6118.05|9040.85|5474.05|1|0|0|0|0
CHEMIE|46|PORSCHE MACAN 7595KKJ|2023-06-16|21912.79|6810000000|2818000025|5.00|20.00||2023|2028|2389.39|4382.55|1993.20|0|0|0|0|0
CHEMIE|48|WEB KIT DIGITAL 2023|2023-07-20|2000.00|6810000000|2806000001|5.00|20.00||2023|2028|180.82|400.00|219.18|0|0|0|0|0
CHEMIE|49|COMERCIO ELECTRONICO KIT DIGITAL 2023|2023-07-20|2000.00|6810000000|2806000002|5.00|20.00||2023|2028|180.82|400.00|219.18|0|0|0|0|0
CHEMIE|47|MINI COOPER 8717MJS|2023-08-07|16069.98|6810000000|2818000026|5.00|20.00|2025-04-16|2023|2025|1294.40|3213.99|924.57|0|0|0|0|0
CHEMIE|50|ORDENADOR PORTATIL HP 250 PLATA|2023-11-30|552.00|6810000000|2817000001|2.00|50.00||2023|2025|24.19|276.00|251.81|0|0|0|1|0
CHEMIE|51|HONDA AFRICA TWIN|2024-05-17|6963.15|6810000000|2818000028|5.00|20.00|2025-07-01|2024|2025|873.73|1392.63|690.59|0|0|0|0|0
CHEMIE|53|IPHONE 13 256 GB|2024-08-08|668.59|6810000000|2817000002|5.00|20.00||2024|2029|53.48|133.71|80.27|0|0|0|0|0
CHEMIE|54|ORDENADOR HP ELITEDESK 800|2024-10-31|321.60|6810000000|2817000001|4.00|25.00||2024|2028|13.65|80.40|66.75|0|0|0|1|0
CHEMIE|55|MOTO BMW XR 1000 M|2025-07-29|12562.50|6810000000|2818000029|5.00|20.00||2025|2030|1073.83|2512.50|1438.67|1|0|0|0|0
CHEMIE|56|IPHONE 17 256 GB|2025-12-13|406.61|6810000000|2817000003|2.00|50.00||2025|2027|10.58|203.30|192.73|0|0|0|0|0
ALMERIENSE|4|ORDENADORES|1997-01-01|907.53|6810000000|2817000001|5.00|20.00||1997|2001|181.50|181.50|181.53|0|0|0|1|0
ALMERIENSE|2|MAMPARAS OFICINA|2001-01-01|3831.45|6810000000|2815000001|8.33|12.00||2001|2008|459.77|459.77|613.06|0|0|0|0|0
ALMERIENSE|5|MOBILIARIO 2001|2001-01-01|2020.31|6810000000|2816000001|8.33|12.00||2001|2008|242.43|242.43|323.30|0|0|0|0|1
ALMERIENSE|10|NAVE SIERRA ALMIJARA|2001-06-10|76629.04|6810000000|2811000001|33.33|3.00||2001|2034|1291.14|2298.87|1774.06|0|1|0|0|0
ALMERIENSE|3|ESTANTERIAS|2002-10-05|476.16|6810000000|2816000002|8.33|12.00||2002|2011|13.77|57.13|5.35|0|0|0|0|0
ALMERIENSE|6|MOBILIARIO 2004|2004-08-14|1939.86|6810000000|2816000001|8.33|12.00||2004|2012|89.28|232.78|221.12|0|0|0|0|1
ALMERIENSE|9|.31PISO BOBAR|2005-04-20|252740.45|6820000000|2820000000|33.33|3.00|2014-12-31|2005|2014|5317.93|7582.21|7561.44|0|0|0|0|0
ALMERIENSE|7|MOBILIARIO 2005 ()|2005-05-18|676.40|6810000000|2816000001|10.00|12.00||2005|2015|42.25|67.64|25.39|0|0|0|0|1
ALMERIENSE|12|MOBILIARIO 2005|2005-06-28|2707.81|6810000000|2816000001|8.33|12.00||2005|2013|166.47|324.93|266.83|0|0|0|0|1
ALMERIENSE|14|MOBILIARIO 2006 -1|2006-01-01|13024.14|6810000000|2816000001|8.33|12.00||2006|2013|1562.89|1562.89|2083.91|0|0|0|0|1
ALMERIENSE|13|MOBILIARIO 2006|2006-01-05|1853.45|6810000000|2816000001|8.33|12.00||2006|2014|219.97|222.41|76.61|0|0|0|0|1
ALMERIENSE|8|SILLAS OFICNA|2007-01-23|280.87|6810000000|2816000001|8.33|12.00||2007|2015|31.67|33.70|13.30|0|0|0|0|1
ALMERIENSE|16|TABLEROS Y LEJAS|2008-08-04|4395.00|6810000000|2816000001|8.33|12.00||2008|2016|216.73|527.40|486.47|0|0|0|0|0
ALMERIENSE|17|MINI COOPER D|2010-05-28|13000.00|6810000000|2818000002|4.54|22.00|2018-01-31|2010|2018|1708.16|2860.00|235.06|0|0|0|0|0
ALMERIENSE|31|INSTALACION CONTRA INCENDIOS|2011-07-13|10068.48|6810000000|2811000001|15.01|6.66||2011|2026|315.99|670.56|364.65|0|0|0|0|0
ALMERIENSE|18|FURGON MERCEDES 311 CDI|2011-07-14|6750.00|6810000000|2818000003|4.00|25.00||2011|2015|790.58|1687.50|896.92|1|0|0|0|0
ALMERIENSE|19|ORDENADOR MACBOOK AIR 13|2012-02-24|1058.47|6810000000|2817000001|1.00|100.00||2012|2013|904.77|1058.47|153.70|0|0|0|1|0
ALMERIENSE|20|VIVIENDA MACENAS|2012-11-28|176044.00|6820000001|2820000001|25.00|4.00||2012|2037|655.94|7041.76|6385.82|0|0|0|0|0
ALMERIENSE|21|MOBILIARIO CASA MACENAS|2013-01-01|2887.07|6810000000|2816000001|6.66|15.00||2013|2019|201.02|201.02|134.07|0|0|0|0|1
ALMERIENSE|22|CICLOMOTOR KEEWAY|2013-10-21|1099.17|6810000000|2818000004|5.00|20.00|2014-10-06|2013|2014|43.36|219.83|167.43|0|0|0|0|0
ALMERIENSE|23|ELECTRODOMESTICOS VARIOS MACENAS|2014-01-31|614.56|6810000000|2816000001|4.00|25.00||2014|2018|141.01|153.64|12.63|0|0|0|0|0
ALMERIENSE|24|MOTOCICLETA KTM DUKE|2014-10-24|4204.13|6810000000|2818000005|5.00|20.00|2016-01-04|2014|2016|158.95|840.82|6.91|0|0|0|0|0
ALMERIENSE|25|equipo fotografico|2015-08-06|602.48|6810000000|2819000000|4.00|25.00||2015|2019|61.07|150.62|89.55|0|0|0|0|0
ALMERIENSE|26|MOTO KAWASAKI Z 800 MAT. 9582 JMZ|2016-04-07|7102.85|6810000000|2818000006|9.25|10.81|2016-12-12|2016|2016|523.79|767.81|523.79|0|0|0|0|0
ALMERIENSE|27|LED SAMSUNG 50 UE50J6200 SMART-TV 600HZ|2016-05-11|542.96|6810000000|2817000002|5.00|20.00||2016|2021|69.91|108.59|38.69|0|0|0|0|0
ALMERIENSE|28|KAWASAKI ZX 636 R MATR: 6699JVH|2016-12-01|9490.26|6810000000|2818000007|10.00|10.00|2022-01-14|2016|2022|80.60|949.02|33.80|0|0|0|0|0
ALMERIENSE|29|INSTALACION KIT ALARMA SECURITAS D.|2017-01-02|1512.00|6810000000|2815000002|5.00|20.00||2017|2022|301.57|302.40|0.83|0|0|0|0|0
ALMERIENSE|30|MOBILIARIO Y ELECTRODOM. MACENAS 2017|2017-05-22|1664.06|6810000000|2816000001|4.00|25.00||2017|2021|255.30|416.01|160.73|0|0|0|0|1
ALMERIENSE|33|BMW SERIE 1 - MAT. 8508-KHG|2018-02-09|12020.23|6810000000|2818000008|5.00|20.00|2023-07-10|2018|2023|2147.17|2404.04|1251.42|1|0|0|0|0
