EMPRESA|LOTE|CODIGO_LOTE|CODIGO_ALMACEN|ALMACEN|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|FECHA_ENVASADO|FECHA_CADUCIDAD|DIAS_HASTA_CADUCIDAD|CANTIDAD|CANTIDAD2|FLAG_SIN_CADUCIDAD|FLAG_CADUCADO|FLAG_CADUCA_30D|FLAG_CADUCA_90D|FLAG_CADUCA_180D|FLAG_CANTIDAD_NEGATIVA|FLAG_CANTIDAD_CERO|FLAG_REFERENCIA_GENERICA|FLAG_SIN_FAMILIA
ECOCLEAN|210524021||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-05-29|2013-05-29|-4746|90.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|220524046||1|ALMACEN PRINCIPAL|13033800,,|13033800|||BRINET L - LIMPIADOR BIOALCOHOL CONCENT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-05-29|2013-05-29|-4746|30.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|210543011||1|ALMACEN PRINCIPAL|32023800,,|32023800|||IBERFARM-L / ACEITE LIGERO ATOXICO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-05-29|2013-05-29|-4746|150.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|220575005||1|ALMACEN PRINCIPAL|33013800,,|33013800|||TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-06-01|2013-06-01|-4743|240.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|230632009||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC-DESENGRASANTE HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-06-05|2013-06-05|-4739|630.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|251224021||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-06-18|2013-06-18|-4726|140.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|280724021||1|ALMACEN PRINCIPAL|12003800,,|12003800|||CHEMGRAS EC-DESENGRASANTE MAQ.AUT.|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-07-10|2013-07-10|-4704|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|121001||1|ALMACEN PRINCIPAL|12013800,,|12013800|||BRINET MG - DETERGENTE FREGADORA|01|DESENGRASANTES Y LIMPIADORES GENERALES|2012-07-17|2013-07-17|-4697|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|120758/60||1|ALMACEN PRINCIPAL|33003800,,|33003800|||DEGRAS BAC-DESENGRASANTE HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|2012-08-08|2013-08-08|-4675|60.000|0.000|0|1|0|0|0|0|0|0|0
ECOCLEAN|120809||1|ALMACEN PRINCIPAL|21003800,,|21003800|||DERGEL SO - GEL DE MANOS SIN RESIDUO|02|JABONES Y PASTA LAVAMANOS|2012-08-30|2013-08-30|-4653|180.000|0.000|0|1|0|0|0|0|0|0|0
