EMPRESA|CODIGO_CLIENTE|RAZON_SOCIAL|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_FAMILIA|FAMILIA|HASTA_CANTIDAD_A|DESCUENTO_A|DESCUENTO2_A|PRECIO_SIN_IVA_A|PRECIO_CON_IVA_A|HASTA_CANTIDAD_B|DESCUENTO_B|DESCUENTO2_B|PRECIO_SIN_IVA_B|PRECIO_CON_IVA_B|HASTA_CANTIDAD_C|DESCUENTO_C|DESCUENTO2_C|PRECIO_SIN_IVA_C|PRECIO_CON_IVA_C|HASTA_CANTIDAD_D|DESCUENTO_D|DESCUENTO2_D|PRECIO_SIN_IVA_D|PRECIO_CON_IVA_D|PVP1_BASE|COSTE_MEDIO|FLAG_PRECIO_ESPECIAL|FLAG_DTO_ESPECIAL|FLAG_CLIENTE_SIN_MAESTRO|FLAG_ARTICULO_SIN_MAESTRO
CHEMIE|237|VEGACAÑADA, S.A.|33013800,,|33013800|||TUNELIMP-LIMPIADOR CONCENT.TUNEL LAVADO|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.2|1.32|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|33023800,,|33023800|||BACTERCHEM - LIMPIADOR HIGIENIZANTE|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.16|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|4.2|1.249827|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|33063800,,|33063800|||HIDROBRILL - SECANTE ABRILLANTADOR|03|PROD. ESPECIALES INDUST. ALIMENTARIA|99999999.0|0.0|0.0|3.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.1|1.62|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|44003800,,|44003800|||CHEMFORT WC - DESATASCADOR TUBERIAS 1KG. (descatalogado)|04|PROD. ESP. AUTOMOCION/TALLERES/VARIOS|99999999.0|0.0|0.0|4.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.1|2.56|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71003300,,|71003300|||GRAMOL - ANTIGRIPANTE AL.|07|AEROSOLES|99999999.0|0.0|0.0|9.47|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.0|3.413914|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71013300,,|71013300|||BIMOL VO - GRASA LUBRICANTE NEGRA|07|AEROSOLES|99999999.0|0.0|0.0|9.47|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.7|2.84|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71023300,,|71023300|||BIMOL B - GRASA LUBRICANTE BLANCA C/PTFE|07|AEROSOLES|99999999.0|0.0|0.0|9.47|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.7|2.935131|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71033300,,|71033300|||BIMOL TEX - ACEITE LIGERO ENGRASE|07|AEROSOLES|99999999.0|0.0|0.0|8.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.8|2.95|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71043300,,|71043300|||BIMOL AT - GRASA ALTA TEMPERATURA|07|AEROSOLES|99999999.0|0.0|0.0|9.92|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.6|3.25|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71053300,,|71053300|||BIMOL CF - GRASA LUBRICANTE INCOLORA C/PTFE|07|AEROSOLES|99999999.0|0.0|0.0|9.47|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|11.7|3.1|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71073300,,|71073300|||DESLUB - DESBLOCANTE INDUSTRIAL AEROSOL|07|AEROSOLES|99999999.0|0.0|0.0|8.7|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.4|2.683594|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71083300,,|71083300|||DAMPLET - ANTIHUMEDAD DIELECTRICO|07|AEROSOLES|99999999.0|0.0|0.0|9.17|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.25|2.513749|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71093300,,|71093300|||CLINELEC - LIMPIADOR DIELECTRICO|07|AEROSOLES|99999999.0|0.0|0.0|9.17|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|9.25|2.852287|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71103300,,|71103300|||BELGRIP - ANTIDESLIZANTE CORREAS|07|AEROSOLES|99999999.0|0.0|0.0|9.92|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|12.6|3.5|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71113300,,|71113300|||SILICHEMI - ABRILLANTADOR ANTIADHERENTE|07|AEROSOLES|99999999.0|0.0|0.0|8.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|8.3|2.95|1|0|0|0
CHEMIE|237|VEGACAÑADA, S.A.|71131700,,|71131700|||LUBE FOOD - ACEITE LUBRICANTE C/PTFE 400cc|07|AEROSOLES|99999999.0|0.0|0.0|13.22|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|16.9|7.100968|1|0|0|0
