EMPRESA|EJERCICIO|FECHA|CUENTA|TITULO_CUENTA|CONCEPTO|IMPORTE|DEBE_HABER|DEBE|HABER|TIPO_MOVIMIENTO|SALDO_SIGNO_GESTION|FLAG_ACTIVO_20_21|FLAG_AMORT_ACUMULADA_28|FLAG_GASTO_AMORT_681_682|FLAG_PERDIDA_INMOV_671|FLAG_BENEFICIO_INMOV_771|FLAG_APERTURA|FLAG_CIERRE|FLAG_REGULARIZACION|FLAG_VEHICULO
ALMERIENSE|2024|2024-12-31|2815000000||Amortización (AIRE ACONDICIONADO MACENA|162.43|H|0.00|162.43|AMORTIZACION_ACUMULADA_28|162.43|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2815000001||Asiento de Apertura|2298.82|H|0.00|2298.82|AMORTIZACION_ACUMULADA_28|2298.82|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2815000001||Asiento de Cierre|2298.82|D|2298.82|0.00|AMORTIZACION_ACUMULADA_28|-2298.82|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2815000002||Asiento de Apertura|908.03|H|0.00|908.03|AMORTIZACION_ACUMULADA_28|908.03|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2815000002||Asiento de Cierre|908.03|D|908.03|0.00|AMORTIZACION_ACUMULADA_28|-908.03|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2815000003||Asiento de Cierre|129.61|D|129.61|0.00|AMORTIZACION_ACUMULADA_28|-129.61|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2815000003||Amortización (TABLONES MADERA MACENAS 2|129.61|H|0.00|129.61|AMORTIZACION_ACUMULADA_28|129.61|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2816000001||Asiento de Apertura|28503.23|H|0.00|28503.23|AMORTIZACION_ACUMULADA_28|28503.23|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2816000001||Asiento de Cierre|28681.24|D|28681.24|0.00|AMORTIZACION_ACUMULADA_28|-28681.24|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2816000001||Amortización (MOBILIARIO Y ELECTRODOM.|178.01|H|0.00|178.01|AMORTIZACION_ACUMULADA_28|178.01|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2816000002||Asiento de Apertura|406.59|H|0.00|406.59|AMORTIZACION_ACUMULADA_28|406.59|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2816000002||Asiento de Cierre|406.59|D|406.59|0.00|AMORTIZACION_ACUMULADA_28|-406.59|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2817000001|AM. AC. DE LEASING|Asiento de Apertura|2685.13|H|0.00|2685.13|AMORTIZACION_ACUMULADA_28|2685.13|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2817000001|AM. AC. DE LEASING|Asiento de Cierre|2811.64|D|2811.64|0.00|AMORTIZACION_ACUMULADA_28|-2811.64|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-12-31|2817000001|AM. AC. DE LEASING|Amortización (ORDENADOR PORTATIL APPLE|126.51|H|0.00|126.51|AMORTIZACION_ACUMULADA_28|126.51|0|1|0|0|0|0|0|0|0
ALMERIENSE|2024|2024-01-01|2817000002|AM. AC. FURGONETA WV|Asiento de Apertura|325.78|H|0.00|325.78|AMORTIZACION_ACUMULADA_28|325.78|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2817000002|AM. AC. FURGONETA WV|Asiento de Cierre|325.78|D|325.78|0.00|AMORTIZACION_ACUMULADA_28|-325.78|0|1|0|0|0|0|1|0|0
ALMERIENSE|2024|2024-01-01|2819000000||Asiento de Apertura|301.24|H|0.00|301.24|AMORTIZACION_ACUMULADA_28|301.24|0|1|0|0|0|1|0|0|0
ALMERIENSE|2024|2024-12-31|2819000000||Asiento de Cierre|363.81|D|363.81|0.00|AMORTIZACION_ACUMULADA_28|-363.81|0|1|0|0|0|0|1|0|0
