EMPRESA|REFE|REFERENCIA1|REFERENCIA2|REFERENCIA3|DESCRIPCION|CODIGO_IVA|CODIGO_FAMILIA|FAMILIA|CODIGO_SUBFAMILIA|FECHA_ALTA|DESUSO|CONTROL_STOCK|RECALCULAR_PM|BASE|UNIDADES_PALET|KILOS_UNIDAD
ALMERIENSE|00101000,,|00101000|||DOSIFICADOR JABON AITANA LUXE|G|7|COMPLEMENTOS VARIOS||2016-06-30|F|T|T||0.000|0.000
ALMERIENSE|00109044,,|00109044|||SECAMANOS SUNFLOW OPTICO 2500W|G|7|COMPLEMENTOS VARIOS||2009-03-18|F|T|T||0.000|0.000
ALMERIENSE|00109044P,,|00109044P|||SECAMANOS SUNFLOW PULSADOR 2500W|G|7|COMPLEMENTOS VARIOS||2009-03-18|F|T|T||0.000|0.000
ALMERIENSE|001972,,|001972|||REDUCTOR PUJOL IPC-102 160/14|G|2|MOTORES/REDUCTORES/BOMBAS||1999-09-23|F|T|T||0.000|0.000
ALMERIENSE|00200000,,|00200000|||PULVERIZADOR MANUAL BOTELLA 1000cc|G|7|COMPLEMENTOS VARIOS||2016-01-27|F|T|T||0.000|0.000
ALMERIENSE|00201000,,|00201000|||PULVERIZADOR MANUAL ATOMIZADOR ESPECIAL|G|7|COMPLEMENTOS VARIOS||2018-05-14|F|T|T||0.000|0.000
ALMERIENSE|00201005,,|00201005|||PULVERIZADOR INDUSTRIAL PLUVIA 5 LTS.|G|7|COMPLEMENTOS VARIOS||2018-05-14|F|T|T||0.000|0.000
ALMERIENSE|00202000,,|00202000|||PULVERIZADOR INDUSTRIAL IK 6LTS. ESPECIAL QUIMICOS|G|7|COMPLEMENTOS VARIOS||2021-02-08|F|T|T||0.000|0.000
ALMERIENSE|002220,,|002220|||REDUCTOR IPC-142 200/24|G|2|MOTORES/REDUCTORES/BOMBAS||1999-10-11|F|T|T||0.000|0.000
ALMERIENSE|002227,,|002227|||REDUCTOR PUJOL IPC-142 200/24 R.45'9 S30|G|2|MOTORES/REDUCTORES/BOMBAS||2000-02-11|F|T|T||0.000|0.000
ALMERIENSE|002463,,|002463|||MOTOR TRIF. C/PATAS B3 1500 RPM 0,25CV|G|2|MOTORES/REDUCTORES/BOMBAS||2004-02-05|F|T|T||0.000|0.000
ALMERIENSE|002464,,|002464|||MOTOR TRIF. C/BRIDA B14 1500RPM 0'25CV|G|2|MOTORES/REDUCTORES/BOMBAS||1999-07-23|F|T|T||0.000|0.000
ALMERIENSE|002635,,|002635|||MOTOVARIADOR PUJOL MVB-0321 0'5 CV|G|2|MOTORES/REDUCTORES/BOMBAS||1999-09-15|F|T|T||0.000|0.000
ALMERIENSE|00304109,,|00304109|||"FILTRO OSM. INV. SEDIMENTOS 5um In-Line 2 1/2"""|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304110,,|00304110|||"FILTRO OSM. INV. CARBON ACT. In-Line 1/4"" ANTIBACTERIAS"|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304112,,|00304112|||"FILTRO OSM. INV. CARBON ACTIVO In-Line 2 1/2"""|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304115,,|00304115|||FILTRO OSMOSIS INV. MEMBRANA FCS 75 gpd|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304137,,|00304137|||ACUMULADOR OSMOSIS 6LT. PRESURIZADO|G|7|COMPLEMENTOS VARIOS||2016-12-23|F|T|T||0.000|0.000
ALMERIENSE|00304138,,|00304138|||ACUMULADOR METALICO OSMOSIS 12LT. PRESURIZADO|G|7|COMPLEMENTOS VARIOS||2016-12-23|F|T|T||0.000|0.000
ALMERIENSE|00304300,,|00304300|||CONJUNTO 5 FILTROS-CARTUCHOS FUENTE AGUA|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304305,,|00304305|||FUENTE AGUA FRIA VICTORIA C/ OSMOSIS + GRIFOS|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|00304506,,|00304506|||"CARCASA PORTA-FILTRO TRANSP. VASO 9 3/4 - 1"""|G|7|COMPLEMENTOS VARIOS||2016-12-23|F|T|T||0.000|0.000
ALMERIENSE|00304807,,|00304807|||FILTRO MALLA INOXIDABLE AC VASO 9 3/4|G|7|COMPLEMENTOS VARIOS||2016-01-28|F|T|T||0.000|0.000
ALMERIENSE|0033430,,|0033430|||MOTOR TRIF. C/BRIDA B-5 1500rpm 2CV|G|2|MOTORES/REDUCTORES/BOMBAS||2003-11-10|F|T|T||0.000|0.000
ALMERIENSE|003409,,|003409|||MOTOR TRIF. C/BRIDA B-5 1500rpm 0'5cv|G|2|MOTORES/REDUCTORES/BOMBAS||1999-07-20|F|T|T||0.000|0.000
ALMERIENSE|003409S,,|003409S|||MOTOR TRIF. C/BRIDA B-5 1500rpm 0'5cv SIEMENS|G|2|MOTORES/REDUCTORES/BOMBAS||1999-07-20|F|T|T||0.000|0.000
ALMERIENSE|003410,,|003410|||MOTOR TRIF. C/BRIDA B14 1500rpm 0'5 CV|G|2|MOTORES/REDUCTORES/BOMBAS||2003-04-25|F|T|T||0.000|0.000
ALMERIENSE|003411,,|003411|||MOTOR TRIF. C/BRIDA B-5 1500rpm 0'75cv|G|2|MOTORES/REDUCTORES/BOMBAS||2000-05-17|F|T|T||0.000|0.000
ALMERIENSE|003412,,|003412|||MOTOR TRIF. C/BRIDA B14 1500rpm 1CV|G|2|MOTORES/REDUCTORES/BOMBAS||2010-02-18|F|T|T||0.000|0.000
ALMERIENSE|003412BON,,|003412BON|||MOTOR TRIF. C/BRIDA B14 1500rpm 1CV - 075kw BONFIGLIOLI|G|2|MOTORES/REDUCTORES/BOMBAS||2010-02-18|F|T|T||0.000|0.000
ALMERIENSE|003412SIE,,|003412SIE|||MOTOR TRIF. C/BRIDA B14 1500rpm 1CV - 075kw SIEMENS-ABB|G|2|MOTORES/REDUCTORES/BOMBAS||2010-02-18|F|T|T||0.000|0.000
ALMERIENSE|003413,,|003413|||MOTOR TRIF. C/BRIDA B-5 1500rpm 0'25cv|G|2|MOTORES/REDUCTORES/BOMBAS||2000-05-17|F|T|T||0.000|0.000
ALMERIENSE|003414,,|003414|||MOTOR TRIF. C/BRIDA B14 1500rpm 0'75cv|G|2|MOTORES/REDUCTORES/BOMBAS||2010-03-17|F|T|T||0.000|0.000
ALMERIENSE|003429,,|003429|||MOTOR TRIFASICO C/BRIDA B-5 1500 RPM 1CV|G|2|MOTORES/REDUCTORES/BOMBAS||1999-10-07|F|T|T||0.000|0.000
ALMERIENSE|003432,,|003432|||MOTOR TRIF. C/BRIDA B-5 1500 RPM 1'5 CV|G|2|MOTORES/REDUCTORES/BOMBAS||1999-10-11|F|T|T||0.000|0.000
ALMERIENSE|00451922,,|00451922|||FUENTE AGUA FRIA MOD. DRINK 590R C/OSMOSIS|G|7|COMPLEMENTOS VARIOS||2009-09-29|F|T|T||0.000|0.000
ALMERIENSE|004965,,|004965|||REDUCTOR PUJOL IPC-84 160/14 R.18'7 S.75|G|2|MOTORES/REDUCTORES/BOMBAS||1999-09-15|F|T|T||0.000|0.000
ALMERIENSE|00620270,,|00620270|||MOTO REDUCTOR VF 49 B14 0,25KW C/PATAS|G|2|MOTORES/REDUCTORES/BOMBAS||2003-11-04|F|T|T||0.000|0.000
